gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
STMN4,25.4010758880907,-0.0200836224443972,0.111338713875597,0.540459636166813,0.886798412830387
NUDCD3,157.541079358183,-0.141647194950084,0.137545892370813,0.0181917690536989,0.228296248712529
CHDH,25.5380877893814,0.212123124967349,0.311131316629071,0.0183888329005873,0.229908348777937
GLT8D1,20.2740223487275,-0.0264070552764098,0.100014822852836,0.427138984327574,0.839526832156965
ATP2C1,165.088370646441,0.013082695831075,0.0526613422290739,0.582934960010408,0.900578555666124
RALBP1,38.2924869379042,-0.0184245583670303,0.110267779511521,0.571338583939011,0.896372894666578
RUFY3,287.075639356645,-0.052177854018169,0.0858581554236759,0.150074459608426,0.598391105425952
CNTN1,702.943921310392,0.350596229853386,0.544943752463954,0.0124813674933316,0.185175515715946
WWTR1,215.41816556863,-0.178809798711626,0.361866111908109,0.0382546937071366,0.336885988109499
AGPS,91.4523870179339,0.0820264708774948,0.153236351166338,0.085356002024191,0.482744558617948
ATP1A2,135.434189199367,1.42223458670021,0.535611179085665,7.41765320015971e-05,0.00794086266695669
TTC27,70.0036639445466,-0.0536441595675946,0.098986413327242,0.161867322033417,0.611613371422682
ZNF582,11.2674808364877,0.0799394354539108,0.163681338211191,0.0946861843667646,0.502561908170654
PHLDB1,117.884970290987,-0.00750574142813328,0.0932036416546697,0.807676039498028,0.960629220957066
PRDM11,27.8190786552958,0.0887327101074408,0.174079361948429,0.0790832337396912,0.464028122003333
ZRANB1,25.4663469598137,-0.035689902533435,0.101032892641793,0.307057391235472,0.760664901015147
